time,ǰ40,ǰ39,ǰ38,ǰ37,ǰ36,ǰ35,ǰ34,ǰ33,ǰ32,ǰ31,ǰ30,ǰ29,ǰ28,ǰ27,ǰ26,ǰ25,ǰ24,ǰ23,ǰ22,ǰ21,ǰ20,ǰ19,ǰ18,ǰ17,ǰ16,ǰ15,ǰ14,ǰ13,ǰ12,ǰ11,ǰ10,ǰ9,ǰ8,ǰ7,ǰ6,ǰ5,ǰ4,ǰ3,ǰ2,ǰ1,��ǰ
2021-06-18T20:03:00.000Z,35575.7300021980770891,35575.2491231280905480,35571.5322343323536140,35581.3999436141052005,35587.1141967536603148,35605.9217219464675059,35630.3821176136480703,35621.6014415127037173,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510
2021-06-18T20:04:00.000Z,35575.2491231280905480,35571.5322343323536140,35581.3999436141052005,35587.1141967536603148,35605.9217219464675059,35630.3821176136480703,35621.6014415127037173,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717
2021-06-18T20:05:00.000Z,35571.5322343323536140,35581.3999436141052005,35587.1141967536603148,35605.9217219464675059,35630.3821176136480703,35621.6014415127037173,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001
2021-06-18T20:06:00.000Z,35581.3999436141052005,35587.1141967536603148,35605.9217219464675059,35630.3821176136480703,35621.6014415127037173,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066
2021-06-18T20:07:00.000Z,35587.1141967536603148,35605.9217219464675059,35630.3821176136480703,35621.6014415127037173,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107
2021-06-18T20:08:00.000Z,35605.9217219464675059,35630.3821176136480703,35621.6014415127037173,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583
2021-06-18T20:09:00.000Z,35630.3821176136480703,35621.6014415127037173,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943
2021-06-18T20:10:00.000Z,35621.6014415127037173,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873
2021-06-18T20:11:00.000Z,35608.7952492364959352,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128
2021-06-18T20:12:00.000Z,35629.6135425611831099,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353
2021-06-18T20:13:00.000Z,35628.2836814285805748,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868
2021-06-18T20:14:00.000Z,35616.2632300788189802,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850
2021-06-18T20:15:00.000Z,35625.0893416648915863,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953
2021-06-18T20:16:00.000Z,35628.5081034469212954,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953,35768.5693585633277400
2021-06-18T20:17:00.000Z,35630.9301852206510181,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953,35768.5693585633277400,35775.8027333975286414
2021-06-18T20:18:00.000Z,35621.7650041644821605,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953,35768.5693585633277400,35775.8027333975286414,35791.7642251201696736
2021-06-18T20:19:00.000Z,35599.1095674128929301,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953,35768.5693585633277400,35775.8027333975286414,35791.7642251201696736,35814.7421302336027746
2021-06-18T20:20:00.000Z,35581.9382369690651223,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953,35768.5693585633277400,35775.8027333975286414,35791.7642251201696736,35814.7421302336027746,35823.3456464018955542
2021-06-18T20:21:00.000Z,35589.9447535848391396,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953,35768.5693585633277400,35775.8027333975286414,35791.7642251201696736,35814.7421302336027746,35823.3456464018955542,35843.3401943426691172
2021-06-18T20:22:00.000Z,35574.5248392285383342,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953,35768.5693585633277400,35775.8027333975286414,35791.7642251201696736,35814.7421302336027746,35823.3456464018955542,35843.3401943426691172,35891.7025985066337887
2021-06-18T20:23:00.000Z,35588.0561395705859333,35584.8474581502514466,35611.4733120165524412,35589.1181463928544292,35586.1276609170487437,35548.7899452050845585,35564.5016543751933537,35552.7608308655080730,35582.1432440326250270,35573.8198511288678993,35592.7088884766899649,35581.8346351829710881,35557.6843280698500701,35549.4639635446846093,35570.7287044689084795,35564.7735399567352833,35539.6081229913392394,35537.0644941351262428,35504.8541742993922522,35515.9000297157494211,35547.8146565808062510,35554.8966833413134717,35568.8018135483073001,35592.6101443600006066,35611.5223533594953107,35647.6986223756740583,35678.5133650691049943,35696.1184872550285873,35713.7053356197105128,35722.1646986958818353,35725.5323288083410868,35733.3572187693243850,35749.0286306002688953,35768.5693585633277400,35775.8027333975286414,35791.7642251201696736,35814.7421302336027746,35823.3456464018955542,35843.3401943426691172,35891.7025985066337887,35914.5967874196723758
