time,ǰ40,ǰ39,ǰ38,ǰ37,ǰ36,ǰ35,ǰ34,ǰ33,ǰ32,ǰ31,ǰ30,ǰ29,ǰ28,ǰ27,ǰ26,ǰ25,ǰ24,ǰ23,ǰ22,ǰ21,ǰ20,ǰ19,ǰ18,ǰ17,ǰ16,ǰ15,ǰ14,ǰ13,ǰ12,ǰ11,ǰ10,ǰ9,ǰ8,ǰ7,ǰ6,ǰ5,ǰ4,ǰ3,ǰ2,ǰ1
2021-06-19T03:14:00.000Z,35896.6051054310574701,35822.8030367402739641,35762.7154057144089740,35741.4026479284906692,35728.7640614065692190,35709.4468619354211032,35669.6708013383559438,35674.2801362988549263,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711
2021-06-19T03:15:00.000Z,35822.8030367402739641,35762.7154057144089740,35741.4026479284906692,35728.7640614065692190,35709.4468619354211032,35669.6708013383559438,35674.2801362988549263,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543
2021-06-19T03:16:00.000Z,35762.7154057144089740,35741.4026479284906692,35728.7640614065692190,35709.4468619354211032,35669.6708013383559438,35674.2801362988549263,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543,35452.4226358628141430
2021-06-19T03:17:00.000Z,35741.4026479284906692,35728.7640614065692190,35709.4468619354211032,35669.6708013383559438,35674.2801362988549263,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543,35452.4226358628141430,35446.5050209751971765
2021-06-19T03:18:00.000Z,35728.7640614065692190,35709.4468619354211032,35669.6708013383559438,35674.2801362988549263,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543,35452.4226358628141430,35446.5050209751971765,35444.7380956452811619
2021-06-19T03:19:00.000Z,35709.4468619354211032,35669.6708013383559438,35674.2801362988549263,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543,35452.4226358628141430,35446.5050209751971765,35444.7380956452811619,35452.5532837085136076
2021-06-19T03:20:00.000Z,35669.6708013383559438,35674.2801362988549263,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543,35452.4226358628141430,35446.5050209751971765,35444.7380956452811619,35452.5532837085136076,35450.8084649129592941
2021-06-19T03:21:00.000Z,35674.2801362988549263,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543,35452.4226358628141430,35446.5050209751971765,35444.7380956452811619,35452.5532837085136076,35450.8084649129592941,35452.2722187354988261
2021-06-19T03:22:00.000Z,35676.6258598142368118,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543,35452.4226358628141430,35446.5050209751971765,35444.7380956452811619,35452.5532837085136076,35450.8084649129592941,35452.2722187354988261,35457.6387967407888097
2021-06-19T03:23:00.000Z,35677.9710781766445708,35664.4328313550489457,35638.2701513745747722,35668.9313817004677479,35676.0618407354302121,35643.6241005093036279,35635.4964166875517826,35613.6303697182108403,35595.1085390648479349,35581.5469723223596499,35586.7775536423403958,35578.7094913884944776,35559.5493183462135728,35549.9302955001429433,35552.7564372186713952,35543.4828614630449840,35539.1550526898826047,35542.5747260363136899,35559.0267652573726038,35578.8021773217363830,35562.3473409442871836,35520.1983019995274529,35516.0793408673959467,35505.1415567432036259,35480.3738060817706837,35448.7612869861591590,35440.7356774293832558,35446.0307088637662254,35453.7931947449591060,35452.7410882984640155,35444.8011190418427711,35450.3438058069284543,35452.4226358628141430,35446.5050209751971765,35444.7380956452811619,35452.5532837085136076,35450.8084649129592941,35452.2722187354988261,35457.6387967407888097,35462.3218589137669963
